Date	Price_in_USD
1-Jan-20	8.500870708
2-Jan-20	8.500346631
3-Jan-20	8.498683304
4-Jan-20	8.49438023
5-Jan-20	8.488873746
6-Jan-20	8.483680585
7-Jan-20	8.479486183
8-Jan-20	8.477814127
9-Jan-20	8.476538476
10-Jan-20	8.476028794
11-Jan-20	8.474746668
12-Jan-20	8.47211799
13-Jan-20	8.469657575
14-Jan-20	8.467212755
15-Jan-20	8.466855598
16-Jan-20	8.466775816
17-Jan-20	8.467122673
18-Jan-20	8.467076859
19-Jan-20	8.467426508
20-Jan-20	8.467991548
21-Jan-20	8.469497025
22-Jan-20	8.471658789
23-Jan-20	8.473864057
24-Jan-20	8.475864562
25-Jan-20	8.479849029
26-Jan-20	8.484764856
27-Jan-20	8.490820603
28-Jan-20	8.496951116
29-Jan-20	8.504464898
30-Jan-20	8.512950652
31-Jan-20	8.521183445
1-Feb-20	8.528696796
2-Feb-20	8.536135062
3-Feb-20	8.543230519
4-Feb-20	8.5500184
5-Feb-20	8.556010161
6-Feb-20	8.56251686
7-Feb-20	8.569160646
8-Feb-20	8.576859691
9-Feb-20	8.582229155
10-Feb-20	8.585602193
11-Feb-20	8.58763774
12-Feb-20	8.586552377
13-Feb-20	8.582350328
14-Feb-20	8.575405161
15-Feb-20	8.566705026
16-Feb-20	8.558485426
17-Feb-20	8.550478401
18-Feb-20	8.541170624
19-Feb-20	8.531070891
20-Feb-20	8.518617116
21-Feb-20	8.50577468
22-Feb-20	8.491720933
23-Feb-20	8.476497263
24-Feb-20	8.460431569
25-Feb-20	8.442919986
26-Feb-20	8.424086946
27-Feb-20	8.402072277
28-Feb-20	8.376591605
29-Feb-20	8.349653397
1-Mar-20	8.322345687
2-Mar-20	8.293097977
3-Mar-20	8.262183556
4-Mar-20	8.231058984
5-Mar-20	8.199601478
6-Mar-20	8.169235419
7-Mar-20	8.139161099
8-Mar-20	8.109810422
9-Mar-20	8.081551637
10-Mar-20	8.055958055
11-Mar-20	8.032211769
12-Mar-20	8.009401962
13-Mar-20	7.98701044
14-Mar-20	7.965738036
15-Mar-20	7.946180173
16-Mar-20	7.92862507
17-Mar-20	7.911030311
18-Mar-20	7.893954677
19-Mar-20	7.877305583
20-Mar-20	7.859420958
21-Mar-20	7.841259301
22-Mar-20	7.82165
23-Mar-20	7.800469428
24-Mar-20	7.77795791
25-Mar-20	7.753748579
26-Mar-20	7.726240135
27-Mar-20	7.697403184
28-Mar-20	7.667247591
29-Mar-20	7.63537166
30-Mar-20	7.601377879
31-Mar-20	7.56570464
1-Apr-20	7.528445315
2-Apr-20	7.490338172
3-Apr-20	7.450885416
4-Apr-20	7.410071378
5-Apr-20	7.367901935
6-Apr-20	7.325052122
7-Apr-20	7.281256794
8-Apr-20	7.237460898
9-Apr-20	7.192173202
10-Apr-20	7.144216441
11-Apr-20	7.094386192
12-Apr-20	7.04451209
13-Apr-20	6.993133044
14-Apr-20	6.939817472
15-Apr-20	6.884194909
16-Apr-20	6.826023996
17-Apr-20	6.765175504
18-Apr-20	6.701257988
19-Apr-20	6.636399225
20-Apr-20	6.569824858
21-Apr-20	6.50093141
22-Apr-20	6.429941376
23-Apr-20	6.3572084
24-Apr-20	6.281458672
25-Apr-20	6.203986547
26-Apr-20	6.125144539
27-Apr-20	6.04504676
28-Apr-20	5.962955903
29-Apr-20	5.879604136
30-Apr-20	5.793727125
1-May-20	5.707241136
2-May-20	5.61966737
3-May-20	5.531717851
4-May-20	5.443884025
5-May-20	5.356493451
6-May-20	5.269883073
7-May-20	5.182971226
8-May-20	5.095571785
9-May-20	5.006797168
10-May-20	4.91675203
11-May-20	4.824366832
12-May-20	4.73077012
13-May-20	4.634380445
14-May-20	4.537014819
15-May-20	4.439191743
16-May-20	4.340750482
17-May-20	4.24330813
18-May-20	4.147063288
19-May-20	4.052909416
20-May-20	3.958916911
21-May-20	3.866037708
22-May-20	3.773357089
23-May-20	3.68032461
24-May-20	3.588741457
25-May-20	3.500067207
26-May-20	3.413147425
27-May-20	3.328301422
28-May-20	3.245666273
29-May-20	3.164932625
30-May-20	3.086154928
31-May-20	3.008545479
1-Jun-20	2.932656875
2-Jun-20	2.857481309
3-Jun-20	2.782395042
4-Jun-20	2.707486019
5-Jun-20	2.634523284
6-Jun-20	2.562216697
7-Jun-20	2.492026429
8-Jun-20	2.425023837
9-Jun-20	2.360790535
10-Jun-20	2.298721995
11-Jun-20	2.239130645
12-Jun-20	2.182651605
13-Jun-20	2.130503943
14-Jun-20	2.080535443
15-Jun-20	2.032955766
16-Jun-20	1.986766583
17-Jun-20	1.943543468
18-Jun-20	1.901958891
19-Jun-20	1.861917684
20-Jun-20	1.822788717
21-Jun-20	1.782184743
22-Jun-20	1.740417099
